year,Base,Higher mortality,Lower interest,Higher benefit
15.75,9331.570756369343,-4921.652516182263,8191.6170394588,2332.8926890923353
15.833333333333332,9401.589772896443,-4960.141415213926,8246.868320530599,2350.3974432241102
15.916666666666666,9471.883568329033,-4998.800682836671,8302.26713497566,2367.9708920822577
16.0,9542.453220994837,-5037.631073175908,8357.813876741342,2385.613305248709
16.083333333333332,9613.299813453315,-5076.6333436951345,8413.50894082693,2403.3249533633284
16.166666666666664,9684.424432512264,-5115.808255210713,8469.352723286449,2421.1061081280654
16.25,9755.828169244493,-5155.156571906708,8525.345621231478,2438.9570423111227
16.333333333333332,9827.512119004554,-5194.679061349795,8581.488032833968,2456.878029751138
16.416666666666664,9899.477381445557,-5234.376494504232,8637.780357329084,2474.8693453613887
16.5,9971.725060536033,-5274.249645746904,8694.222995018039,2492.931265134008
16.583333333333332,10044.25626457686,-5314.299292882418,8750.816347270935,2511.0640661442144
16.666666666666664,10117.072106218277,-5354.526217158286,8807.560816529629,2529.2680265545687
16.75,10190.173702476955,-5394.9312032801645,8864.456806310589,2547.5434256192384
16.833333333333332,10263.562174753115,-5435.5150394271495,8921.504721207753,2565.8905436882783
16.916666666666664,10337.238648847748,-5476.2785172671665,8978.704966895428,2584.3096622119365
17.0,10411.20425497988,-5517.222431972408,9036.057950131159,2602.8010637449697
17.083333333333332,10485.4601278039,-5558.347582234838,9093.564078758618,2621.3650319509748
17.166666666666664,10560.007406426983,-5599.654770281784,9151.223761710522,2640.0018516067453
17.25,10634.847234426556,-5641.144801891581,9209.037409011527,2658.7118086066384
17.333333333333332,10709.980759867829,-5682.818486409281,9267.005431781143,2677.495189966957
17.416666666666664,10785.409135321432,-5724.676636762457,9325.128242236666,2696.3522838303575
17.5,10861.133517881077,-5766.720069477051,9383.406253696106,2715.2833794702688
17.583333333333332,10937.155069181306,-5808.949604693299,9441.839880581121,2734.288767295326
17.666666666666664,11013.474955415328,-5851.366066181739,9500.42953841997,2753.3687388538315
17.75,11090.094347352897,-5893.970281359277,9559.175643850473,2772.5235868382238
17.833333333333332,11167.014420358264,-5936.7630813053165,9618.078614622951,2791.7536050895656
17.916666666666664,11244.236354408229,-5979.7453007779895,9677.138869603228,2811.059088602057
18.0,11321.761334110226,-6022.917778230428,9736.35682877559,2830.440333527556
18.083333333333332,11399.590548720495,-6066.2813558271155,9795.732913245769,2849.897637180123
18.166666666666664,11477.725192162334,-6109.836879460328,9855.26754524395,2869.431298040583
18.25,11556.166463044414,-6153.585198766629,9914.961148127773,2889.041615761103
18.333333333333332,11634.915564679151,-6197.527167143437,9974.814146385326,2908.7288911697874
18.416666666666664,11713.973705101189,-6241.663641765681,10034.826965638184,2928.4934262752968
18.5,11793.342097085913,-6285.995483602523,10095.000032644428,2948.335524271478
